K,gamma,rho_c,R,Mstar,rho_bar,ratio
3.16e13,1.25,10.0,7.547334079841376e10,4.378992864471819e31,0.024316715032814525,411.2397577758905
3.16e13,1.25,25.0,5.497842864768319e10,3.9051050701678396e31,0.056100553370338035,445.6284028959011
3.16e13,1.25,50.0,4.3117169210595665e10,3.5809995493636166e31,0.10665100111680208,468.81885286047134
3.16e13,1.25,100.0,3.373162797945895e10,3.283792055702912e31,0.2042561458227163,489.5813518717561
3.16e13,1.25,200.0,2.6332814487669044e10,3.0112509950828035e31,0.3937009914538762,507.9997367073709
3.16e13,1.25,400.0,2.0519093598236588e10,2.7613295002651038e31,0.7630537056537663,524.2094980159876
3.16e13,1.25,800.0,1.5963671424328773e10,2.532150381576342e31,1.485944347741978,538.3781709023422
5.31e13,1.25,10.0,9.78357141188599e10,9.538616651035224e31,0.024316693899150987,411.24011518478454
5.31e13,1.25,25.0,7.12682448986504e10,8.506362398662064e31,0.056100545056205375,445.6284689382837
5.31e13,1.25,50.0,5.5892546087446014e10,7.800373964073968e31,0.10665104961962239,468.8186396507874
5.31e13,1.25,100.0,4.3726115136937935e10,7.152976620531479e31,0.20425632522251264,489.5809218689412
5.31e13,1.25,200.0,3.4135075059523968e10,6.559309359733821e31,0.393701363103111,507.99925716188005
5.31e13,1.25,400.0,2.6598783618648922e10,6.014913557849523e31,0.7630543132185136,524.2090806260251
5.31e13,1.25,800.0,2.069361945316851e10,5.515700194132373e31,1.4859447700544728,538.378017892733
8.91e13,1.25,10.0,1.2673280246147289e11,2.0732905569274745e32,0.0243166892337151,411.24019408592005
8.91e13,1.25,25.0,9.231825399804367e10,1.8489222787897043e32,0.05610057335691272,445.62824413486135
8.91e13,1.25,50.0,7.240114076029497e10,1.695470346682714e32,0.10665110563193377,468.8183934309713
8.91e13,1.25,100.0,5.664119888724788e10,1.5547536318753784e32,0.2042563933351699,489.58075861012225
8.91e13,1.25,200.0,4.421732307334328e10,1.4257155574048324e32,0.3937013818201372,507.9992330109986
8.91e13,1.25,400.0,3.445508540110069e10,1.3073870076197615e32,0.7630545096316058,524.2089456926419
8.91e13,1.25,800.0,2.6805749697918304e10,1.1988792028986872e32,1.4859457125310558,538.377676420854
1.5e14,1.25,10.0,1.4573623297320667e11,4.528456430546732e32,0.03492681353307975,286.3129781515522
1.5e14,1.25,25.0,1.1978274084878165e11,4.03867576283077e32,0.05610061727673964,445.6278952632036
1.5e14,1.25,50.0,9.39403549299242e10,3.703484497052549e32,0.10665109813904085,468.81842636833505
1.5e14,1.25,100.0,7.349186498806659e10,3.396111281836815e32,0.20425631741745573,489.5809405768421
1.5e14,1.25,200.0,5.737191092356703e10,3.1142481933638247e32,0.3937011338217007,507.9995530075765
1.5e14,1.25,400.0,4.470542584717607e10,2.8557783530953675e32,0.7630538352086988,524.2094090131899
1.5e14,1.25,800.0,3.4780422162573456e10,2.6187603637339602e32,1.485944546123091,538.3780990261332
2.51e14,1.25,10.0,1.4573623297320667e11,9.784185140834451e32,0.07546289011017306,132.5154653552278
2.51e14,1.25,25.0,1.4573623297320667e11,8.74195800430819e32,0.06742446169314761,370.7853110311263
2.51e14,1.25,50.0,1.2151880730094655e11,8.016489437011975e32,0.10665104629691224,468.8186542568181
2.51e14,1.25,100.0,9.506718312238799e10,7.351155442783206e32,0.20425613956491176,489.581366871082
2.51e14,1.25,200.0,7.421481391154718e10,6.741040165337426e32,0.39370098108995055,507.99975008013797
2.51e14,1.25,400.0,5.782976911700044e10,6.181561451183785e32,0.7630538824980819,524.2093765259172
2.51e14,1.25,800.0,4.499104759405521e10,5.66851699005399e32,1.4859442868128923,538.3781929777928
4.22e14,1.25,10.0,1.4573623297320667e11,2.1108432009218838e33,0.16280387811364416,61.4235982328355
4.22e14,1.25,25.0,1.4573623297320667e11,1.9041779820041583e33,0.14686432414946693,170.22513905117606
4.22e14,1.25,50.0,1.4573623297320667e11,1.747584081305625e33,0.13478664149093036,370.9566426385395
4.22e14,1.25,100.0,1.2326789169124017e11,1.6025577928313676e33,0.20425617120459197,489.58129103397124
4.22e14,1.25,200.0,9.622985825854007e10,1.4695521721492793e33,0.39370131142014453,507.9993238492591
